pop50        pop100        pop200      pop300       pop400         pop500
-13.464722   -11.909391    -8.377455   -7.747563    -8.156138    -7.357839
-13.451900   -11.900332    -8.360471   -7.706279    -8.146265    -7.424384
-13.424110   -11.964883    -8.345958   -7.713492    -8.137503    -7.418316
-13.411386   -12.103499    -8.326686   -7.696805    -8.158107    -7.331122
-13.294354   -12.064691    -8.346781   -7.677643    -8.036852    -7.383460
-13.222165   -11.921520    -8.384353   -7.664786    -8.037737    -7.436667
-13.330945   -11.840010    -8.345095   -7.657802    -8.067523    -7.331452
-13.332682   -11.814883    -8.257257   -7.643803    -8.072392    -7.306582
-13.213968   -11.770866    -8.248449   -7.633649    -8.028837    -7.291354
-13.290019   -11.740672    -8.201313   -7.591558    -7.936461    -7.242377
-13.271433   -11.712567    -8.317948   -7.615732    -7.927456    -7.240207
-13.327291   -11.677361    -8.364402   -7.580448    -7.902522    -7.177360
-13.189984   -11.671400    -8.357572   -7.510866    -7.926669    -7.228242
-13.188341   -11.650339    -8.346813   -7.499702    -7.922924    -7.116261
-13.122002   -11.650339    -8.337854   -7.490472    -7.920321    -7.106973
-13.157211   -11.592299    -8.278628   -7.471461    -7.946098    -7.101693
-13.095795   -11.545081    -8.218107   -7.492699    -7.975445    -7.097894
-13.116606   -11.551264    -8.218107   -7.421079    -7.977759    -7.086001
-13.107897   -11.480618    -8.221891   -7.410137    -7.972948    -7.072768
-12.849520   -11.470903    -8.199307   -7.430673    -7.935240    -7.062146
-12.848216   -11.524247    -8.133052   -7.430305    -7.860364    -7.006289
-12.841708   -11.575346    -8.107442   -7.373024    -7.780952    -7.101852
-12.767893   -11.535839    -8.112286   -7.357917    -7.731183    -7.101852
-12.912500   -11.562498    -8.091272   -7.354053    -7.665927    -7.084399
-12.881581   -11.539559    -7.971624   -7.324914    -7.623587    -7.183554
-12.896194   -11.460485    -7.971876   -7.323247    -7.654073    -7.183554
-12.928594   -11.397336    -7.932143   -7.309918    -7.616106    -7.193803
-12.903231   -11.293264    -7.886041   -7.309918    -7.551594    -7.189700
-12.812086   -11.240542    -7.886458   -7.259388    -7.546465    -7.134175
-12.547902   -11.206141    -7.984719   -7.247858    -7.532659    -7.111955
-12.539806   -11.182124    -7.977731   -7.247475    -7.532659    -7.118639
-12.582760   -11.130147    -7.968879   -7.241413    -7.519372    -7.054831
-12.571160   -11.027675    -7.957011   -7.259962    -7.507238    -7.046854
-12.539069   -11.003197    -7.943555   -7.250431    -7.568401    -7.053857
-12.464040   -10.998777    -7.922141   -7.239370    -7.470263    -7.022740
-12.487268   -10.979155    -7.931746   -7.233758    -7.470263    -7.025435
-12.505752   -11.021004    -7.834407   -7.207416    -7.471001    -7.006957
-12.513342   -11.125057    -7.866084   -7.207707    -7.465458    -7.005322
-12.501308   -11.124635    -7.848218   -7.230414    -7.468987    -7.000911
-12.487816   -11.107096    -7.874197   -7.233196    -7.462148    -7.025815
-12.479445   -11.060968    -7.850096   -7.204040    -7.462148    -7.045625
-12.482621   -11.070827    -7.814135   -7.171734    -7.374526    -7.001130
-12.467452   -11.013883    -7.798448   -7.171403    -7.384537    -7.011983
-12.408440   -11.042147    -7.793279   -7.171143    -7.319680    -7.012797
-12.393986   -11.021723    -7.839059   -7.172726    -7.325326    -6.962138
-12.390516   -10.808641    -7.766960   -7.174982    -7.297822    -6.984144
-12.375518   -10.812523    -7.739845   -7.157418    -7.285861    -6.899810
-12.368628   -10.810034    -7.713727   -7.154020    -7.290215    -6.894847
